#ip,#ioc,#feed.name
148.81.111.193,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.194,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.195,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.196,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.197,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.198,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.199,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.200,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.201,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.202,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.203,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.204,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.205,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.206,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.207,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.208,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.209,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.210,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.211,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.212,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.213,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.214,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.215,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.216,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.217,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.218,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.219,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.220,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.221,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.222,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.223,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.224,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.225,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.226,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.227,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.228,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.229,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.230,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.231,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.232,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.233,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.234,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.235,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.236,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.237,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.238,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.239,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.240,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.241,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.242,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.243,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.244,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.245,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.246,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.247,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.248,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.249,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.250,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.251,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.252,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.253,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.254,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.1,sinkhole_certpl,sinkhole_ip
148.81.111.2,sinkhole_certpl,sinkhole_ip
148.81.111.3,sinkhole_certpl,sinkhole_ip
148.81.111.4,sinkhole_certpl,sinkhole_ip
148.81.111.5,sinkhole_certpl,sinkhole_ip
148.81.111.6,sinkhole_certpl,sinkhole_ip
148.81.111.7,sinkhole_certpl,sinkhole_ip
148.81.111.8,sinkhole_certpl,sinkhole_ip
148.81.111.9,sinkhole_certpl,sinkhole_ip
148.81.111.10,sinkhole_certpl,sinkhole_ip
148.81.111.11,sinkhole_certpl,sinkhole_ip
148.81.111.12,sinkhole_certpl,sinkhole_ip
148.81.111.13,sinkhole_certpl,sinkhole_ip
148.81.111.14,sinkhole_certpl,sinkhole_ip
148.81.111.15,sinkhole_certpl,sinkhole_ip
148.81.111.16,sinkhole_certpl,sinkhole_ip
148.81.111.17,sinkhole_certpl,sinkhole_ip
148.81.111.18,sinkhole_certpl,sinkhole_ip
148.81.111.19,sinkhole_certpl,sinkhole_ip
148.81.111.20,sinkhole_certpl,sinkhole_ip
148.81.111.21,sinkhole_certpl,sinkhole_ip
148.81.111.22,sinkhole_certpl,sinkhole_ip
